iter	Passed	Remaining
840	35171	48470
841	35211	48426
842	35252	48382
843	35293	48340
844	35332	48294
845	35372	48249
846	35412	48205
847	35451	48161
848	35491	48115
849	35533	48075
850	35581	48040
851	35620	47995
852	35660	47951
853	35700	47907
854	35738	47860
855	35779	47817
856	35820	47773
857	35859	47729
858	35900	47685
859	35941	47642
860	35980	47598
861	36029	47565
862	36068	47520
863	36108	47476
864	36148	47431
865	36200	47404
866	36240	47359
867	36280	47315
868	36321	47271
869	36362	47229
870	36402	47185
871	36443	47142
872	36483	47097
873	36522	47053
874	36561	47007
875	36604	46966
876	36643	46921
877	36682	46876
878	36722	46833
879	36762	46788
880	36804	46747
881	36849	46708
882	36889	46665
883	36928	46620
884	36968	46575
885	37008	46531
886	37049	46489
887	37088	46443
888	37128	46399
889	37167	46355
890	37207	46311
891	37248	46268
892	37288	46223
893	37327	46178
894	37366	46134
895	37406	46089
896	37446	46046
897	37488	46004
898	37527	45960
899	37575	45925
900	37615	45881
901	37657	45840
902	37698	45797
903	37738	45754
904	37779	45710
905	37824	45673
906	37872	45638
907	37911	45593
908	37952	45551
909	37991	45506
910	38031	45462
911	38070	45417
912	38115	45379
913	38155	45335
914	38210	45309
915	38249	45264
916	38290	45221
917	38329	45176
918	38383	45149
919	38422	45105
920	38463	45061
921	38502	45016
922	38542	44972
923	38582	44929
924	38621	44884
925	38662	44841
926	38702	44798
927	38746	44758
928	38786	44714
929	38827	44671
930	38879	44642
931	38917	44596
932	38960	44555
933	38999	44511
934	39039	44467
935	39079	44424
936	39120	44381
937	39161	44339
938	39202	44296
939	39247	44257
940	39287	44213
941	39328	44171
942	39367	44126
943	39408	44083
944	39447	44038
945	39486	43993
946	39531	43955
947	39577	43919
948	39618	43876
949	39658	43833
950	39699	43790
951	39740	43748
952	39783	43707
953	39824	43665
954	39864	43621
955	39903	43576
956	39943	43533
957	39987	43494
958	40026	43448
959	40066	43405
960	40106	43361
961	40146	43317
962	40186	43274
963	40228	43232
964	40268	43189
965	40308	43145
966	40347	43100
967	40397	43068
968	40443	43030
969	40481	42985
970	40522	42942
971	40562	42899
972	40610	42864
973	40651	42822
974	40691	42778
975	40732	42735
976	40771	42691
977	40811	42647
978	40854	42607
979	40894	42564
980	40935	42521
981	40978	42480
982	41018	42436
983	41058	42393
984	41099	42351
985	41139	42307
986	41180	42264
987	41219	42221
988	41258	42176
989	41297	42131
990	41337	42087
991	41377	42044
992	41430	42014
993	41473	41973
994	41512	41930
995	41553	41887
996	41596	41847
997	41637	41803
998	41686	41769
999	41726	41726
1000	41766	41682
1001	41808	41641
1002	41848	41597
1003	41888	41554
1004	41930	41513
1005	41974	41474
1006	42021	41437
1007	42062	41394
1008	42103	41352
1009	42144	41309
1010	42184	41266
1011	42224	41223
1012	42268	41184
1013	42309	41141
1014	42350	41099
1015	42390	41055
1016	42439	41020
1017	42482	40980
1018	42522	40936
1019	42561	40892
1020	42600	40848
1021	42643	40807
1022	42683	40764
1023	42723	40720
1024	42771	40684
1025	42812	40642
1026	42861	40607
1027	42900	40563
1028	42945	40524
1029	42989	40485
1030	43032	40444
1031	43072	40401
1032	43111	40357
1033	43153	40315
1034	43192	40271
1035	43230	40226
1036	43270	40182
1037	43309	40138
1038	43350	40095
1039	43389	40051
1040	43428	40008
1041	43469	39965
1042	43510	39923
1043	43555	39883
1044	43594	39839
1045	43634	39796
1046	43674	39753
1047	43723	39718
1048	43762	39674
1049	43802	39630
1050	43842	39587
1051	43882	39544
1052	43922	39500
1053	43960	39456
1054	44001	39413
1055	44048	39377
1056	44089	39334
1057	44129	39291
1058	44170	39248
1059	44217	39211
1060	44257	39168
1061	44297	39125
1062	44338	39082
1063	44378	39039
1064	44418	38996
1065	44459	38953
1066	44499	38910
1067	44539	38867
1068	44579	38824
1069	44618	38780
1070	44665	38743
1071	44705	38700
1072	44744	38656
1073	44783	38612
1074	44824	38570
1075	44866	38528
1076	44906	38485
1077	44948	38443
1078	44988	38400
1079	45030	38358
1080	45071	38317
1081	45119	38280
1082	45160	38238
1083	45199	38194
1084	45237	38149
1085	45277	38106
1086	45317	38063
1087	45357	38020
